% f=7.00Hz  Gain=3.2365(10.20dB)  Phase=-68.79deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        1.5450000000        -0.4129895816         2.0926410687        -0.7855477357
        1.5500000000        -0.3640576475         2.1183436887        -3.0461167594
        1.5550000000        -0.2975903394         2.1528896025        -1.2509590053
        1.5600000000        -0.2167891533         2.1943351039        -1.4504209780
        1.5650000000        -0.1255459977         2.2404405169        -1.8493449234
        1.5700000000        -0.0282557338         2.5000000000        -1.6498829507
        1.5750000000         0.0703955093         2.7193505720        -1.2509590053
        1.5800000000         0.1656560487         2.7739740854        -0.9850097084
        1.5850000000         0.2529375200         2.8246959675        -0.6525730873
        1.5900000000         0.3280358823         2.8688735555         0.5441987488
        1.5950000000         0.3873339122         2.9041184475         0.0123001550
        1.6000000000         0.4279754323         2.9284640853        -0.3201364662
        1.6050000000         0.4480028841         2.9405189971         0.2117621277
        1.6100000000         0.4464516156         2.9395838824         0.2782494519
        1.6150000000         0.4233963460         2.9257132345         0.1452748034
        1.6200000000         0.3799475665         2.8997104714         1.6744832606
        1.6250000000         0.3181980515         2.8630574660         1.7409705849
        1.6300000000         0.2411220577         2.8177909897         1.4750212880
        1.6350000000         0.1524320641         2.7663461016         1.5415086122
        1.6400000000         0.0563999551         2.5000000000         1.8074579091
        1.6450000000        -0.0423487410         2.5000000000         1.3420466395
        1.6500000000        -0.1390576475         2.2336583516         0.9431226942
        1.6550000000        -0.2290686371         2.1880745525         0.8766353699
        1.6600000000        -0.3080461977         2.1474827743        -0.0541871692
        1.6650000000        -0.3721862584         2.1140900617        -0.2536491419
        1.6700000000        -0.4183994186         2.0897850235         0.1452748034
        1.6750000000        -0.4444597533         2.0759860548         0.0123001550
        1.6800000000        -0.4491120278         2.0735155161         0.0123001550
        1.6850000000        -0.4321321586         2.0825219772        -0.1871618177
        1.6900000000        -0.3943380060         2.1024657851        -0.9850097084
        1.6950000000        -0.3375499813         2.1321709208        -2.5807054899
        1.7000000000        -0.2645033635         2.1699326868        -1.1844716811
        1.7050000000        -0.1787165508         2.2136612152        -1.7163702749
        1.7100000000        -0.0843215916         2.2610379147        -1.8493449234
        1.7150000000         0.0141348416         2.5000000000        -1.7828575991
        1.7200000000         0.1119104492         2.7430633162        -1.1844716811
        1.7250000000         0.2042957249         2.7963477207        -1.2509590053
        1.7300000000         0.2868407954         2.8445775330        -0.3201364662
        1.7350000000         0.3555697556         2.8851984639         0.4777114246
        1.7400000000         0.4071721736         2.9159827298        -0.0541871692
        1.7450000000         0.4391625429         2.9351930813        -0.1206744935
        1.7500000000         0.4500000000         2.9417232131         0.0123001550
        1.7550000000         0.4391625429         2.9351930813        -0.2536491419
        1.7600000000         0.4071721736         2.9159827298        -0.0541871692
        1.7650000000         0.3555697556         2.8851984639         2.6053057998
        1.7700000000         0.2868407954         2.8445775330         1.5415086122
        1.7750000000         0.2042957249         2.7963477207         1.5415086122
        1.7800000000         0.1119104492         2.7430633162         1.6079959364
        1.7850000000         0.0141348416         2.5000000000         1.7409705849
        1.7900000000        -0.0843215916         2.2610379147         1.2090719911
        1.7950000000        -0.1787165508         2.2136612152         0.7436607215
        1.8000000000        -0.2645033635         2.1699326868         0.2117621277
        1.8050000000        -0.3375499813         2.1321709208        -0.4531111146
        1.8100000000        -0.3943380060         2.1024657851        -0.1206744935
        1.8150000000        -0.4321321586         2.0825219772         0.2117621277
