% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        1.9503924000         1.3939905194         3.3479150326        -0.0365680283
        1.9554275000         1.4016475000         3.3530187875         0.1628939444
        1.9604086000         1.3990951731         3.3453631551         0.0964066201
        1.9653900000         1.3965428462         3.3453631551         0.0299192959
        1.9703745000         1.3990951731         3.3479150326         0.0964066201
        1.9753842000         1.3888858657         3.3402594002        -0.1695426768
        1.9803902000         1.3939905194         3.3453631551        -0.0365680283
        1.9854247000         1.4016475000         3.3530187875         0.1628939444
        1.9904186000         1.4016475000         3.3530187875         0.1628939444
        1.9954199000         1.4016475000         3.3530187875         0.1628939444
        2.0004057000         1.3965428462         3.3453631551         0.0299192959
        2.0054027000         1.3965428462         3.3453631551         0.0299192959
        2.0104419000         1.3965428462         3.3453631551         0.0299192959
        2.0154280000         1.3965428462         3.3453631551         0.0299192959
        2.0204281000         1.4016475000         3.3530187875         0.1628939444
        2.0254448000         1.3939905194         3.3479150326        -0.0365680283
        2.0304633000         1.3965428462         3.3453631551         0.0299192959
        2.0354683000         1.3965428462         3.3530187875         0.0299192959
        2.0404309000         1.4016475000         3.3530187875         0.1628939444
        2.0454048000         1.4016475000         3.3504669101         0.1628939444
        2.0503959000         1.3888858657         3.3402594002        -0.1695426768
        2.0553956000         1.3965428462         3.3453631551         0.0299192959
        2.0603843000         1.3965428462         3.3453631551         0.0299192959
        2.0653976000         1.3965428462         3.3504669101         0.0299192959
        2.0703965000         1.3965428462         3.3453631551         0.0299192959
        2.0753799000         1.3965428462         3.3453631551         0.0299192959
        2.0803948000         1.3965428462         3.3453631551         0.0299192959
        2.0853970000         1.3888858657         3.3402594002        -0.1695426768
        2.0904132000         1.3965428462         3.3453631551         0.0299192959
        2.0953886000         1.3939905194         3.3453631551        -0.0365680283
        2.1005275000         1.3939905194         3.3479150326        -0.0365680283
        2.1053832000         1.3990951731         3.3504669101         0.0964066201
        2.1104678000         1.3965428462         3.3453631551         0.0299192959
        2.1154073000         1.3888858657         3.3402594002        -0.1695426768
        2.1203871000         1.3914381925         3.3402594002        -0.1030553526
        2.1253902000         1.3965428462         3.3453631551         0.0299192959
        2.1304048000         1.3965428462         3.3428112777         0.0299192959
        2.1353866000         1.4041998268         3.3530187875         0.2293812686
        2.1403917000         1.3965428462         3.3428112777         0.0299192959
