% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338950V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        1.0754671000       498.3227382800         3.2983541125         1.6696418199         4.7616551449       493.5704912748       506.8263387584         6.4295087252         1.3993761929
        1.0804614000       505.0493064663         3.3069851313         1.6670894930         4.7871739195       489.7610482055       499.5778516827        10.2389517945         1.4019273900
        1.0854656000       501.5764717788         3.3025224115         1.6696418199         4.8331077137       493.5704912748       495.7949709983         6.4295087252         1.4070297842
        1.0904477000       513.7745487597         3.3182608836         1.6645371662         4.8662821207       485.9516051362       492.9100653377        14.0483948638         1.3993761929
        1.0954306000       521.9883463770         3.3289602727         1.6619848393         4.9020084051       482.1421620669       488.6724501013        17.8578379331         1.4019273900
        1.1005027000       520.0027411204         3.3263661799         1.6645371662         4.9326309346       485.9516051362       486.4608999311        14.0483948638         1.4019273900
        1.1054552000       468.0299419969         3.2601225786         1.6900604347         4.9709090965       524.0460358292       495.3241475683       -24.0460358292         1.3917226017
        1.1105058000       496.1651364326         3.2955968538         1.6747464736         5.0142910133       501.1893774134       503.5924479954        -1.1893774134         1.3968249959
        1.1154448000       517.8190015718         3.3235188650         1.6645371662         4.9989797486       485.9516051362       498.8008056979        14.0483948638         1.4044785871
        1.1204614000       471.3177112429         3.2642231880         1.6875081079         5.0142910133       520.2365927599       500.8534912269       -20.2365927599         1.3993761929
        1.1254577000       505.6680291887         3.3077817115         1.6696418199         5.0015316260       493.5704912748       503.7461079163         6.4295087252         1.3917226017
        1.1304548000       501.4515797858         3.3023621857         1.6721941467         1.0971591138       497.3799343441       499.7916734742         2.6200656559         1.3968249959
        1.1354440000       485.5484980782         3.2821073798         1.6798511273         1.1124703785       508.8082635520       501.3706108041        -8.8082635520         1.3840690105
        1.1404378000       483.8290986080         3.2799347101         1.6798511273        -0.0052519485       508.8082635520       504.9266600363        -8.8082635520         1.3891714046
        1.1454529000       514.9387519055         3.3197723540         1.6645371662         0.0024036839       485.9516051362       501.3184614536        14.0483948638         1.3993761929
        1.1505295000       452.0229351928         3.2403193986         1.6951650884         0.0075074388       531.6649219678       504.8994440437       -31.6649219678         1.3942737988
        1.1554706000       500.5569353760         3.3012149684         1.6696418199         0.0049555613       493.5704912748       508.5896568895         6.4295087252         1.3917226017
        1.1604649000       496.3404859731         3.2958207362         1.6721941467         0.0355780908       497.3799343441       502.3194517075         2.6200656559         1.3968249959
        1.1654685000       480.4374042655         3.2756585395         1.6798511273         0.0815118851       508.8082635520       502.6898217447        -8.8082635520         1.3968249959
        1.1704733000       478.7180047954         3.2734956155         1.6798511273         0.1070306597       508.8082635520       505.6151371673        -8.8082635520         1.3968249959
        1.1755184000       460.5840789414         3.2508780013         1.6875081079         0.1478606990       520.2365927599       509.8738416746       -20.2365927599         1.3866202076
        1.1804479000       483.9913792979         3.2801396303         1.6747464736         0.1835869834       501.1893774134       510.2750482632        -1.1893774134         1.3993761929
        1.1855151000       472.8161916695         3.2660959732         1.6798511273         0.2142095129       508.8082635520       507.7524075345        -8.8082635520         1.3968249959
        1.1905633000       465.6252834047         3.2571306707         1.6824034542         0.2575914298       512.6177066213       509.1679024343       -12.6177066213         1.3968249959
        1.1954806000       468.6337780138         3.2608748397         1.6798511273         0.2882139593       508.8082635520       509.9066287725        -8.8082635520         1.4019273900
        1.2004576000       488.8004137221         3.2862256434         1.6696418199         0.3213883662       493.5704912748       505.7387849577         6.4295087252         1.3917226017
        1.2055449000       451.7549115515         3.2399900379         1.6875081079         0.3571146507       520.2365927599       506.2956721354       -20.2365927599         1.4019273900
        1.2104952000       475.1622119080         3.2690328634         1.6747464736         0.4030484449       501.1893774134       508.4076532753        -1.1893774134         1.3968249959
        1.2154622000       458.5155154850         3.2483199571         1.6824034542         0.4311190970       512.6177066213       507.6885159526       -12.6177066213         1.3917226017
        1.2204505000       466.9955188886         3.2588347878         1.6772988005         0.4693972588       504.9988204827       508.2238834571        -4.9988204827         1.3942737988
        1.2254941000       438.6621901608         3.2239872384         1.6900604347         0.5051235433       524.0460358292       511.2353086741       -24.0460358292         1.3993761929
        1.2304450000       483.2119109804         3.2791556235         1.6670894930         0.5357460728       489.7610482055       509.1642284535        10.2389517945         1.3942737988
        1.2354597000       474.2675674983         3.2679121917         1.6721941467         0.5663686023       497.3799343441       501.7086374222         2.6200656559         1.3942737988
        1.2404382000       469.3075033799         3.2617146261         1.6747464736         0.5995430093       501.1893774134       500.5496968265        -1.1893774134         1.3968249959
        1.2454757000       441.7177893676         3.2277070786         1.6875081079         0.6480286810       520.2365927599       505.4089117749       -20.2365927599         1.3917226017
        1.2504516000       437.7675457511         3.2228998005         1.6875081079         0.6837549654       520.2365927599       512.4982402727       -20.2365927599         1.3942737988
        1.2554985000       472.1178636969         3.2652229102         1.6696418199         0.7067218625       493.5704912748       509.8233342090         6.4295087252         1.4019273900
        1.2604581000       473.3729230886         3.2667923855         1.6696418199         0.7450000244       493.5704912748       502.0526151937         6.4295087252         1.3942737988
        1.2654605000       474.6279824802         3.2683635594         1.6696418199         0.7807263088       493.5704912748       497.9971892049         6.4295087252         1.4044785871
        1.2704691000       443.0539891043         3.2293365710         1.6849557810         0.8113488384       516.4271496906       501.3447702730       -16.4271496906         1.3917226017
        1.2754904000       494.5624481493         3.2935522234         1.6594325125         0.8470751228       478.3327189975       499.4491249345        21.6672810025         1.4019273900
        1.2805021000       455.0198960460         3.2440071306         1.6798511273         0.8776976523       508.8082635520       496.6384652519        -8.8082635520         1.3917226017
        1.2855456000       508.0155845219         3.3108082410         1.6543278587         0.9108720593       470.7138328589       493.3502728024        29.2861671411         1.3968249959
        1.2904626000       502.7893146171         3.3040793406         1.6594325125         0.9414945888       478.3327189975       484.3488135991        21.6672810025         1.3993761929
        1.2954805000       479.6612888976         3.2746818200         1.6721941467         0.9746689957       497.3799343441       486.0258062725         2.6200656559         1.3866202076
        1.3004832000       485.6442423684         3.2822284615         1.6696418199         1.0078434027       493.5704912748       490.5437040555         6.4295087252         1.3942737988
        1.3054484000       508.7853369386         3.3118020602         1.6594325125         1.0384659322       478.3327189975       488.3481552191        21.6672810025         1.3942737988
        1.3104836000       496.6003288083         3.2961525632         1.6670894930         1.0767440941       489.7610482055       486.2916551173        10.2389517945         1.4019273900
        1.3155437000       482.1844765316         3.2778596150         1.6747464736         1.1124703785       501.1893774134       490.6824467268        -1.1893774134         1.3866202076
        1.3204439000       520.2528680546         3.3266926891         1.6568801856         1.1430929080       474.5232759282       489.3312378985        25.4767240718         1.4019273900
        1.3254847000       497.8684570506         3.2977731246         1.6696418199         1.1635079277       493.5704912748       486.8047117648         6.4295087252         1.3993761929
        1.3304375000       526.4810604153         3.3348479126         1.6568801856         1.1992342121       474.5232759282       485.4861542770        25.4767240718         1.3968249959
        1.3354732000       509.5681582058         3.3128134816         1.6670894930         1.2349604965       489.7610482055       483.8873432899        10.2389517945         1.3942737988
        1.3404318000       500.6238147238         3.3013006964         1.6721941467         1.2732386584       497.3799343441       488.5169962361         2.6200656559         1.3968249959
        1.3454427000       490.1922418108         3.2879919220         1.6772988005         1.2962055556       504.9988204827       494.5758447576        -4.9988204827         1.3917226017
        1.3504566000       543.9315450022         3.3579600943         1.6517755319         1.3242762076       466.9043897896       490.4524711983        33.0956102104         1.3942737988
        1.3554583000       495.6768194560         3.2949735689         1.6772988005         1.3651062470       504.9988204827       488.3005421090        -4.9988204827         1.4019273900
        1.3604692000       505.6440522905         3.3077508338         1.6721941467         1.4008325314       497.3799343441       494.4628804759         2.6200656559         1.3968249959
        1.3654465000       489.7409705829         3.2874190022         1.6798511273         1.4365588158       508.8082635520       498.5895907245        -8.8082635520         1.3942737988
        1.3704423000       493.4930799074         3.2921896228         1.6772988005         1.4646294679       504.9988204827       502.5646109511        -4.9988204827         1.3942737988
        1.3755256000       514.4033303311         3.3190770178         1.6670894930         1.4978038748       489.7610482055       500.0857421611        10.2389517945         1.4044785871
        1.3804315000       505.4589868491         3.3075125272         1.6721941467         1.5233226494       497.3799343441       496.9707065851         2.6200656559         1.3917226017
        1.3854444000       527.8564667037         3.3366554274         1.6619848393         1.5641526888       482.1421620669       493.5236647543        17.8578379331         1.3993761929
        1.3904522000       503.9848262688         3.3056157198         1.6747464736         1.6024308506       501.1893774134       492.6353783066        -1.1893774134         1.3917226017
        1.3954386000       492.8096386403         3.2913194625         1.6798511273         1.6330533802       508.8082635520       498.5465186284        -8.8082635520         1.3968249959
        1.4004413000       485.6187303756         3.2821961971         1.6824034542         1.6611240322       512.6177066213       504.3634820137       -12.6177066213         1.3891714046
        1.4054693000       515.9847689576         3.3211317954         1.6670894930         1.6866428068       489.7610482055       502.8458967473        10.2389517945         1.3968249959
