% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
       12.3705661000       221.8056693586         2.9759568083         1.3378393285         4.3890810359        -0.0093082254         0.0093082254         1.6085743532
       12.3754959000       221.8843884902         2.9760437859         1.3378393285         4.4018404232        -0.0093082254         0.0093082254         1.5932671707
       12.3805644000       179.9601597688         2.9296890904         1.3633625971         4.4248073203         0.6555650169        -0.6555650169         1.5983695649
       12.3858033000       220.6193264267         2.9746460278         1.3352870017         4.4222554428        -0.0757955496         0.0757955496         1.5881647766
       12.3910370000       179.2573772164         2.9289104462         1.3608102703         4.4528779724         0.5890776926        -0.5890776926         1.5907159736
       12.3956697000       182.6761703179         2.9326974853         1.3557056165         4.4656373597         0.4561030442        -0.4561030442         1.5907159736
       12.4005843000       195.6201120123         2.9470202796         1.3454963091         4.4681892371         0.1901537473        -0.1901537473         1.5881647766
       12.4055649000       202.4125821809         2.9545291589         1.3403916554         4.4835005019         0.0571790988        -0.0571790988         1.5932671707
       12.4107901000       172.5269583041         2.9214488060         1.3582579434         4.5064673990         0.5225903684        -0.5225903684         1.5856135795
       12.4164029000       184.9086204873         2.9351693699         1.3480486360         4.5141230314         0.2566410715        -0.2566410715         1.5932671707
       12.4205253000       178.5379267888         2.9281132437         1.3506009628         4.5345380510         0.3231283957        -0.3231283957         1.5830623824
       12.4259913000       163.2043640085         2.9110971727         1.3582579434         4.5498493158         0.5225903684        -0.5225903684         1.5830623824
       12.4305814000       171.3857314064         2.9201826814         1.3506009628         4.5549530707         0.3231283957        -0.3231283957         1.5779599882
       12.4356881000       147.6515790555         2.8937754179         1.3633625971         4.5677124580         0.6555650169        -0.6555650169         1.5728575941
       12.4406446000       167.3092717870         2.9156577186         1.3480486360         4.5779199678         0.2566410715        -0.2566410715         1.5754087912
       12.4463898000       156.7382833031         2.9039043660         1.3531532897         4.5906793551         0.3896157200        -0.3896157200         1.5779599882
       12.4506183000       166.0442097235         2.9142526814         1.3454963091         4.6085424974         0.1901537473        -0.1901537473         1.5805111853
       12.4559346000       135.0340268243         2.8796633270         1.3633625971         4.6289575170         0.6555650169        -0.6555650169         1.5677551999
       12.4604957000       158.8920143411         2.9063014456         1.3454963091         4.6366131494         0.1901537473        -0.1901537473         1.5728575941
       12.4657526000       140.4827157978         2.8857647061         1.3557056165         4.6493725367         0.4561030442        -0.4561030442         1.5754087912
       12.4708154000       132.4251835657         2.8767377684         1.3582579434         4.6646838015         0.5225903684        -0.5225903684         1.5652040029
       12.4756995000       132.2059613931         2.8764918039         1.3557056165         4.6697875564         0.4561030442        -0.4561030442         1.5652040029
       12.4804825000       124.1484291610         2.8674368936         1.3582579434         4.6902025760         0.5225903684        -0.5225903684         1.5575504116
       12.4854851000       123.9292069883         2.8671901286         1.3557056165         4.6978582084         0.4561030442        -0.4561030442         1.5652040029
       12.4905282000       115.8716747562         2.8581043305         1.3582579434         4.7080657183         0.5225903684        -0.5225903684         1.5473456233
       12.4954695000        98.8512734423         2.8388003171         1.3659149240         4.7259288605         0.7220523411        -0.7220523411         1.5498968204
       12.5006998000        92.7449179507         2.8318338198         1.3659149240         4.7335844928         0.7220523411        -0.7220523411         1.5524480175
       12.5055698000        95.0391520298         2.8344539149         1.3608102703         4.7412401252         0.5890776926        -0.5890776926         1.5498968204
