% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        1.1950075000         0.9976131572         3.1638673296         1.5854150336         0.4668453814         6.4489380134         7.2607283194
        1.2000078000         0.9980273438         3.1640624380         1.5854150336         0.4949160334         6.4489380134         7.2637428112
        1.2050082000         0.9984021324         3.1642389996         1.5854150336         0.5229866855         6.4489380134         7.2664705602
        1.2100072000         0.9987374112         3.1643969578         1.5905196873         0.5561610925         6.5819126618         7.2689107522
        1.2150082000         0.9990333877         3.1645364074         1.5905196873         0.5791279896         6.5819126618         7.2710648990
        1.2200110000         0.9992899935         3.1646573133         1.5854150336         0.5918873769         6.4489380134         7.2729325020
        1.2250070000         0.9995068366         3.1647594882         1.5828627068         0.6250617838         6.3824506891         7.2745107077
        1.2300046000         0.9996843345         3.1648431268         1.5879673605         0.6505805584         6.5154253376         7.2758025552
        1.2350075000         0.9998225300         3.1649082475         1.5905196873         0.6709955781         6.5819126618         7.2768083554
        1.2400060000         0.9999211389         3.1649547151         1.5803103799         0.6939624752         6.3159633649         7.2775260412
        1.2450085000         0.9999803279         3.1649826072         1.5905196873         0.7245850047         6.5819126618         7.2779568246
        1.2500090000         0.9999999999         3.1649918775         1.5930720142         0.7450000244         6.6483999860         7.2780999995
        1.2550090000         0.9999801897         3.1649825421         1.5930720142         0.7756225539         6.6483999860         7.2779558189
        1.2600093000         0.9999208973         3.1649546013         1.5905196873         0.7985894511         6.5819126618         7.2775242825
        1.2650093000         0.9998221320         3.1649080600         1.5956243410         0.8266601031         6.7148873103         7.2768054592
        1.2700073000         0.9996839587         3.1648429497         1.6007289948         0.8521788777         6.8478619587         7.2757998199
        1.2750102000         0.9995061577         3.1647591683         1.5905196873         0.8751457748         6.5819126618         7.2745057661
        1.2800085000         0.9992890700         3.1646568781         1.6007289948         0.9134239367         6.8478619587         7.2729257804
        1.2850163000         0.9990320339         3.1645357695         1.6032813216         0.9389427113         6.9143492830         7.2710550456
        1.2900079000         0.9987364578         3.1643965086         1.5905196873         0.9568058535         6.5819126618         7.2689038132
        1.2950179000         0.9984002785         3.1642381262         1.6032813216         0.9823246281         6.9143492830         7.2664570672
        1.3000111000         0.9980258525         3.1640617355         1.6007289948         1.0027396478         6.8478619587         7.2637319570
        1.3050078000         0.9976118294         3.1638667042         1.5905196873         1.0359140547         6.5819126618         7.2607186556
        1.3100088000         0.9971580672         3.1636529692         1.6058336485         1.0537771970         6.9808366072         7.2574161289
        1.3150159000         0.9966642976         3.1634204087         1.6032813216         1.0869516039         6.9143492830         7.2538224244
